lat,long,name
247.323,928.305,Agua Prieta
273.671,619.841,Adolfo Ruíz Cortínes
466.294,34.513,Acatic
385.374,439.869,Acaponeta
538.471,303.691,Acámbaro
51.181,326.891,Abasolo
486.718,41.252,Jesús Gómez Portugal (Margaritas)
557.942,702.229,Anáhuac
531.543,365.922,Dolores Hidalgo Cuna de la Independencia Nacional
489.329,192.541,Guacamayas
489.032,189.851,Ciudad Lázaro Cárdenas
450.633,330.888,"San Pio de Pietrelcina, Hacienda Santa Fe, Tlajomulco, Jalisco"
235.764,460.792,Los Cabos
17.396,664.229,Loreto
222.542,530.482,La Paz
155.469,666.823,Mulegé
172.513,637.344,Comondú
141.773,957.929,Ensenada
626.329,993.219,Mexicali
136.637,995.715,Tecate
245.189,993.059,Tijuana
481.274,984.281,Playas de Rosarito
486.434,406.118,Aguascalientes
493.581,425.463,Asientos
47.269,404.275,Calvillo
486.434,432.833,Cosío
484.785,410.724,Jesús María
487.534,420.857,Pabellón de Arteaga
485.885,425.463,Rincón de Romos
490.833,424.542,Tepezalá
49.743,40.796,El Llano
487.534,417.172,San Francisco de los Romo
892.576,323.346,Calkiní
831.803,226.295,Carmen
868.751,266.115,Champotón
887.771,311.232,Hecelchakán
868.131,225.413,Escárcega
900.415,191.473,Calakmul
867.429,191.473,Candelaria
584.798,225.451,Puente de Ixtla
804.754,449.991,Acacoyagua
799.224,111.545,Acala
799.256,156.467,Amatán
784.413,125.145,Berriozábal
825.646,176.733,Catazajá
81.685,142.649,Chilón
769.761,118.943,Cintalapa
805.304,440.777,Escuintla
589.945,268.088,Colonia del Valle
591.175,273.917,Colonia Lindavista
58.652,267.691,Col. Bosques de las Lomas
590.776,267.816,Colonia Nativitas
593.471,280.119,Ecatepec de Morelos
588.041,267.472,Álvaro Obregón
348.276,88.138,Ahumada
307.268,925.455,Ascensión
325.029,855.922,Buenaventura
404.624,734.757,Camargo
357.828,7.899,Chihuahua
321.698,698.331,Guachochi
31.478,767.911,Guerrero
373.918,795.962,Aldama
439.009,558.556,Cuencamé
360.789,633.444,Guanaceví
428.555,644.214,Mapimí
412.099,461.428,Mezquital
386.148,490.725,Pueblo Nuevo
339.074,581.474,Tamazula
357.495,604.828,Tepehuanes
562.448,195.689,Apaxtla
556.014,206.191,Arcelia
598.488,164.629,Atlixtac
